"pore_size","before","after","bins"
0,60.8910891089109,57.7060931899642,"(0,100]"
100,26.4026402640264,24.910394265233,"(100,200]"
200,7.34323432343234,8.24372759856631,"(200,300]"
300,2.14521452145215,2.8673835125448,"(300,400]"
400,1.32013201320132,2.8673835125448,"(400,500]"
500,0.577557755775578,0.716845878136201,"(500,600]"
600,0.33003300330033,0.716845878136201,"(600,700]"
700,0.165016501650165,0.537634408602151,"(700,800]"
800,0,0.896057347670251,"(800,900]"
900,0.0825082508250825,0,"(900,1e+03]"
1000,0.165016501650165,0.17921146953405,"(1e+03,1.1e+03]"
1100,0.33003300330033,0,"(1.1e+03,1.2e+03]"
1200,0.0825082508250825,0.3584229390681,"(1.2e+03,1.3e+03]"
1300,0.0825082508250825,0,"(1.3e+03,1.4e+03]"
1400,0.0825082508250825,0,"(1.4e+03,1.5e+03]"
