"pore_size_um","freeze/thaw","perc_freq"
"0-100","before",60.89
"100-200","before",26.4
"200-300","before",7.34
"300-400","before",2.15
"400-500","before",1.32
"500-600","before",0.58
"600-700","before",0.33
"700-800","before",0.17
"800-900","before",0
"900-1000","before",0.08
"1000-1100","before",0.17
"1100-1200","before",0.33
"1200-1300","before",0.08
"1300-1400","before",0.08
"1400-1500","before",0.08
"0-100","after",57.71
"100-200","after",24.91
"200-300","after",8.24
"300-400","after",2.87
"400-500","after",2.87
"500-600","after",0.72
"600-700","after",0.72
"700-800","after",0.54
"800-900","after",0.9
"900-1000","after",0
"1000-1100","after",0.18
"1100-1200","after",0
"1200-1300","after",0.36
"1300-1400","after",0
"1400-1500","after",0
