pore_size,before,after,bins
0,60.89108911,57.70609319,"(0,100]"
100,26.40264026,24.91039427,"(100,200]"
200,7.343234323,8.243727599,"(200,300]"
300,2.145214521,2.867383513,"(300,400]"
400,1.320132013,2.867383513,"(400,500]"
500,0.577557756,0.716845878,"(500,600]"
600,0.330033003,0.716845878,"(600,700]"
700,0.165016502,0.537634409,"(700,800]"
800,0,0.896057348,"(800,900]"
900,0.082508251,0,"(900,1e+03]"
1000,0.165016502,0.17921147,"(1e+03,1.1e+03]"
1100,0.330033003,0,"(1.1e+03,1.2e+03]"
1200,0.082508251,0.358422939,"(1.2e+03,1.3e+03]"
1300,0.082508251,0,"(1.3e+03,1.4e+03]"
1400,0.082508251,0,"(1.4e+03,1.5e+03]"
