site,sample,trmt,breadth_mm,breadth_um,freq
tool,41-50-16,before,0.005,5,0
tool,41-50-16,before,0.01,10,0
tool,41-50-16,before,0.015,15,0
tool,41-50-16,before,0.02,20,0.004140787
tool,41-50-16,before,0.025,25,0.075569358
tool,41-50-16,before,0.03,30,0.109730849
tool,41-50-16,before,0.035,35,0.106625259
tool,41-50-16,before,0.04,40,0.079710145
tool,41-50-16,before,0.045,45,0.086956522
tool,41-50-16,before,0.05,50,0.062111801
tool,41-50-16,before,0.055,55,0.062111801
tool,41-50-16,before,0.06,60,0.048654244
tool,41-50-16,before,0.065,65,0.045548654
tool,41-50-16,before,0.07,70,0.036231884
tool,41-50-16,before,0.075,75,0.027950311
tool,41-50-16,before,0.08,80,0.041407867
tool,41-50-16,before,0.085,85,0.020703934
tool,41-50-16,before,0.09,90,0.026915114
tool,41-50-16,before,0.095,95,0.026915114
tool,41-50-16,before,0.1,100,0.020703934
tool,41-50-16,before,0.105,105,0.01552795
tool,41-50-16,before,0.11,110,0.016563147
tool,41-50-16,before,0.115,115,0.010351967
tool,41-50-16,before,0.12,120,0.00931677
tool,41-50-16,before,0.125,125,0.01242236
tool,41-50-16,before,0.13,130,0.011387164
tool,41-50-16,before,0.135,135,0.008281573
tool,41-50-16,before,0.14,140,0.007246377
tool,41-50-16,before,0.145,145,0.007246377
tool,41-50-16,before,0.15,150,0.007246377
tool,41-50-16,before,0.155,155,0.00931677
tool,41-50-16,before,0.16,160,0.00310559
tool,41-50-16,after,0.005,5,0
tool,41-50-16,after,0.01,10,0
tool,41-50-16,after,0.015,15,0
tool,41-50-16,after,0.02,20,0.009174312
tool,41-50-16,after,0.025,25,0.110091743
tool,41-50-16,after,0.03,30,0.128440367
tool,41-50-16,after,0.035,35,0.110091743
tool,41-50-16,after,0.04,40,0.082568807
tool,41-50-16,after,0.045,45,0.082568807
tool,41-50-16,after,0.05,50,0.04587156
tool,41-50-16,after,0.055,55,0.082568807
tool,41-50-16,after,0.06,60,0.036697248
tool,41-50-16,after,0.065,65,0.064220183
tool,41-50-16,after,0.07,70,0.036697248
tool,41-50-16,after,0.075,75,0.009174312
tool,41-50-16,after,0.08,80,0.027522936
tool,41-50-16,after,0.085,85,0.018348624
tool,41-50-16,after,0.09,90,0.009174312
tool,41-50-16,after,0.095,95,0.027522936
tool,41-50-16,after,0.1,100,0.018348624
tool,41-50-16,after,0.105,105,0.018348624
tool,41-50-16,after,0.11,110,0.018348624
tool,41-50-16,after,0.115,115,0.018348624
tool,41-50-16,after,0.12,120,0
tool,41-50-16,after,0.125,125,0
