"top","bottom","binsmm","after","before"
28,38,"0.001-0.01",33,86
28,38,"0.00319891",29,19
28,38,"0.0060072",10,6
28,38,"0.00600901",8,9
28,38,"0.00617504",NA,1
28,38,"0.00617508",1,NA
28,38,"0.00859275",2,NA
28,38,"0.00859452",4,3
28,38,"0.00881027",NA,1
28,38,"0.00881549",3,NA
28,38,"0.00898337",2,NA
28,38,"0.00898514",NA,2
28,38,"0.00915124",1,NA
28,38,"0.01-0.1",43,66
28,38,"0.1-1.0",18,20
28,38,"1.0-10.0",3,3
40,50,"0.001-0.01",65,149
40,50,"0.00312556",41,NA
40,50,"0.00319891",NA,57
40,50,"0.00586945",5,NA
40,50,"0.00587121",6,NA
40,50,"0.0060072",NA,23
40,50,"0.00600901",NA,9
40,50,"0.00603344",1,NA
40,50,"0.00617508",NA,1
40,50,"0.00839571",1,NA
40,50,"0.00839744",6,NA
40,50,"0.00859275",NA,12
40,50,"0.00859452",NA,7
40,50,"0.00860824",1,NA
40,50,"0.00881027",NA,1
40,50,"0.00881549",NA,2
40,50,"0.00881911",NA,1
40,50,"0.00898514",NA,1
40,50,"0.01-0.1",37,56
40,50,"0.1-1.0",25,15
40,50,"1.0-10.0",2,6
