,site,top,bottom,moisture,ftc,length_3d_mm,width_3d_mm,area_3d_mm,vol_3d_mm,eq_diam_mm,eq_sa_mm,pore_shape_factor
1,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
2,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
3,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
4,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
5,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
6,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
7,tool,40,50,0.16,before,0.0234263,0.0112976,0.00060072,2.20E-06,0.0161305,0.000817421,1.360734639
8,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
9,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
10,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
11,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
12,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
13,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
14,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
15,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
16,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
17,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
18,tool,40,50,0.16,before,0.0234263,0.0112976,0.00060072,2.20E-06,0.0161305,0.000817421,1.360734639
19,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
20,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
21,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
22,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
23,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
24,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
25,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
26,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
27,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
28,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
29,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
30,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
31,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
32,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
33,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
34,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
35,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
36,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
37,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
38,tool,40,50,0.16,before,0.0234263,0.0112976,0.00060072,2.20E-06,0.0161305,0.000817421,1.360734639
39,tool,40,50,0.16,before,0.0234263,0.0112976,0.00060072,2.20E-06,0.0161305,0.000817421,1.360734639
40,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
41,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
42,tool,40,50,0.16,before,0.0234263,0.0112976,0.00060072,2.20E-06,0.0161305,0.000817421,1.360734639
43,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
44,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
45,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
46,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
47,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
48,tool,40,50,0.16,before,0.0234263,0.0112976,0.00060072,2.20E-06,0.0161305,0.000817421,1.360734639
49,tool,40,50,0.16,before,0.0334565,0.0112976,0.000881549,3.30E-06,0.0184648,0.001071122,1.215045752
50,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
51,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
52,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
53,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
54,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
55,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
56,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
57,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
58,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
59,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
60,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
61,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
62,tool,40,50,0.16,before,0.0234263,0.0112976,0.00060072,2.20E-06,0.0161305,0.000817421,1.360734639
63,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
64,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
65,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
66,tool,40,50,0.16,before,0.030152,0.0123278,0.00107877,4.40E-06,0.0203232,0.00129758,1.202832612
67,tool,40,50,0.16,before,0.030152,0.0123278,0.00107877,4.40E-06,0.0203232,0.00129758,1.202832612
68,tool,40,50,0.16,before,0.0468862,0.0123278,0.00159588,6.59E-06,0.0232642,0.001700302,1.065432367
