site,sample,water,trmt,co_num
tool,40_50_16,low,before,1
tool,40_50_16,low,before,1
tool,40_50_16,low,before,1
tool,40_50_16,low,before,1
tool,40_50_16,low,before,1
tool,40_50_16,low,before,1
tool,40_50_16,low,before,1
tool,40_50_16,low,before,1
tool,40_50_16,low,before,1
tool,40_50_16,low,before,1
tool,40_50_16,low,before,1
tool,40_50_16,low,before,1
tool,40_50_16,low,before,2
tool,40_50_16,low,before,2
tool,40_50_16,low,before,2
tool,40_50_16,low,before,2
tool,40_50_16,low,before,2
tool,40_50_16,low,before,2
tool,40_50_16,low,before,2
tool,40_50_16,low,before,2
tool,40_50_16,low,before,2
tool,40_50_16,low,before,2
tool,40_50_16,low,before,2
tool,40_50_16,low,before,2
tool,40_50_16,low,before,2
tool,40_50_16,low,before,2
tool,40_50_16,low,before,3
tool,40_50_16,low,before,3
tool,40_50_16,low,before,3
tool,40_50_16,low,before,3
tool,40_50_16,low,before,3
tool,40_50_16,low,before,3
tool,40_50_16,low,before,3
tool,40_50_16,low,before,3
tool,40_50_16,low,before,3
tool,40_50_16,low,before,3
tool,40_50_16,low,before,3
tool,40_50_16,low,before,3
tool,40_50_16,low,before,3
tool,40_50_16,low,before,4
tool,40_50_16,low,before,4
tool,40_50_16,low,before,4
tool,40_50_16,low,before,4
tool,40_50_16,low,before,4
tool,40_50_16,low,before,4
tool,40_50_16,low,before,4
tool,40_50_16,low,before,4
tool,40_50_16,low,before,4
tool,40_50_16,low,before,5
tool,40_50_16,low,before,5
tool,40_50_16,low,before,5
tool,40_50_16,low,before,5
tool,40_50_16,low,before,6
tool,40_50_16,low,before,6
tool,40_50_16,low,before,6
tool,40_50_16,low,before,7
tool,40_50_16,low,before,7
tool,40_50_16,low,before,8
tool,40_50_16,low,before,13
tool,40_50_16,low,after,1
tool,40_50_16,low,after,1
tool,40_50_16,low,after,1
tool,40_50_16,low,after,1
tool,40_50_16,low,after,1
tool,40_50_16,low,after,1
tool,40_50_16,low,after,1
tool,40_50_16,low,after,1
tool,40_50_16,low,after,1
tool,40_50_16,low,after,2
tool,40_50_16,low,after,2
tool,40_50_16,low,after,2
tool,40_50_16,low,after,2
tool,40_50_16,low,after,2
tool,40_50_16,low,after,2
tool,40_50_16,low,after,3
tool,40_50_16,low,after,3
tool,40_50_16,low,after,3
tool,40_50_16,low,after,3
tool,40_50_16,low,after,3
tool,40_50_16,low,after,3
tool,40_50_16,low,after,3
tool,40_50_16,low,after,4
tool,40_50_16,low,after,4
tool,40_50_16,low,after,4
tool,40_50_16,low,after,4
tool,40_50_16,low,after,4
tool,40_50_16,low,after,4
tool,40_50_16,low,after,4
tool,40_50_16,low,after,5
tool,40_50_16,low,after,5
tool,40_50_16,low,after,6
tool,40_50_16,low,after,7
tool,40_50_16,low,after,9
tool,41_50_28,high,before,1
