site,sample,trmt,breadth_mm3,Pc
tool,40_50_16,before,0.93245,1.232665639
tool,40_50_16,after,0.8613,-1.033591731
tool,28_38_12,after,0.856554,-0.920683147
tool,28_38_28,after,0.846372,-0.745879018
tool,40_50_16,before,0.785498,-0.349338876
tool,40_50_16,after,0.7767,-0.324412003
tool,28_38_28,after,0.730085,-0.235411824
tool,41_50_16,before,0.718277,-0.22011523
tool,28_38_28,after,0.712682,-0.21354061
tool,28_38_12,after,0.712637,-0.213489323
tool,28_38_12,before,0.693217,-0.193439499
tool,28_38_12,before,0.666065,-0.170987668
tool,40_50_28,after,0.652684,-0.161736402
tool,28_38_12,before,0.650577,-0.160370134
tool,41_50_16,before,0.648175,-0.158840465
tool,28_38_28,after,0.637248,-0.152234807
tool,40_50_16,after,0.6308,-0.14858841
tool,41_50_28,after,0.618276,-0.141982934
tool,41_50_28,before,0.589554,-0.128846885
tool,28_38_12,after,0.589295,-0.12873948
tool,40_50_28,before,0.586096,-0.127427494
tool,40_50_16,after,0.5609,-0.117959304
tool,28_38_12,after,0.542327,-0.111833994
tool,40_50_16,after,0.5391,-0.110834026
tool,28_38_12,before,0.526768,-0.107171947
tool,28_38_12,before,0.521255,-0.105611955
tool,28_38_12,after,0.511862,-0.10305613
tool,28_38_28,before,0.505889,-0.101494249
tool,41_50_16,before,0.505807,-0.101473136
tool,28_38_28,after,0.502356,-0.10059249
tool,28_38_28,before,0.500984,-0.100246607
tool,41_50_28,after,0.500794,-0.100198895
tool,40_50_16,before,0.492233,-0.098095236
tool,28_38_12,before,0.492233,-0.098095236
tool,28_38_28,after,0.484173,-0.09619385
tool,28_38_12,after,0.478044,-0.094796614
tool,41_50_16,before,0.47751,-0.094676797
tool,41_50_16,before,0.475486,-0.094225397
tool,41_50_28,before,0.474737,-0.094059441
tool,28_38_28,before,0.474225,-0.093946333
tool,40_50_16,before,0.469013,-0.092810224
tool,41_50_16,before,0.468898,-0.092785466
tool,28_38_28,after,0.458218,-0.090542394
tool,28_38_12,before,0.4536,-0.089605735
tool,28_38_28,after,0.450598,-0.08900717
tool,28_38_12,after,0.44568,-0.08804367
tool,41_50_28,before,0.443582,-0.087638963
tool,28_38_12,after,0.440004,-0.086957278
tool,41_50_28,after,0.436036,-0.086213586
tool,41_50_16,before,0.432369,-0.085537529
tool,41_50_28,after,0.430956,-0.085279846
tool,28_38_28,after,0.429363,-0.084991193
tool,40_50_16,before,0.428007,-0.08474702
tool,41_50_16,before,0.424786,-0.084172604
tool,28_38_12,after,0.424431,-0.084109772
tool,28_38_12,after,0.422795,-0.083821418
tool,40_50_16,before,0.422276,-0.083730355
tool,28_38_28,before,0.413153,-0.082161336
tool,40_50_16,before,0.412126,-0.081988382
tool,40_50_16,before,0.398846,-0.079815785
tool,41_50_16,before,0.397868,-0.079660328
tool,41_50_16,before,0.396255,-0.079405255
tool,28_38_28,after,0.393834,-0.079025458
tool,41_50_28,after,0.386181,-0.077848425
tool,41_50_16,before,0.379202,-0.07680521
tool,28_38_12,before,0.374477,-0.076114651
tool,41_50_28,before,0.371789,-0.075727314
tool,28_38_28,after,0.369633,-0.075419474
tool,41_50_16,before,0.361623,-0.074297379
tool,28_38_28,after,0.35998,-0.074071331
tool,41_50_16,before,0.355433,-0.073452853
tool,40_50_28,before,0.353248,-0.073159312
tool,41_50_16,before,0.351464,-0.072921376
tool,40_50_16,after,0.3483,-0.072503172
tool,41_50_16,before,0.347262,-0.072367017
tool,28_38_28,before,0.344169,-0.07196432
tool,28_38_12,after,0.340186,-0.071452304
tool,40_50_16,before,0.339804,-0.07140358
tool,40_50_16,before,0.339744,-0.071395933
tool,28_38_12,before,0.336366,-0.07096804
tool,41_50_16,before,0.335177,-0.070818646
tool,40_50_16,after,0.3321,-0.070434936
tool,28_38_28,after,0.324704,-0.069529425
tool,41_50_16,after,0.322944,-0.069317363
tool,28_38_28,after,0.322737,-0.069292506
tool,40_50_16,before,0.322655,-0.069282665
tool,40_50_16,after,0.3204,-0.069013112
tool,28_38_28,after,0.319285,-0.068880604
tool,28_38_28,after,0.317822,-0.068707509
tool,28_38_12,before,0.3178,-0.068704912
tool,41_50_28,before,0.317719,-0.068695355
tool,28_38_28,before,0.313777,-0.06823342
tool,41_50_16,before,0.310956,-0.067906642
tool,41_50_16,before,0.310735,-0.067881174
tool,28_38_12,after,0.308586,-0.067634517
tool,41_50_16,before,0.307942,-0.067560948
tool,41_50_28,before,0.305649,-0.067300299
tool,28_38_12,after,0.302867,-0.066986752
tool,28_38_28,after,0.301896,-0.066878001
tool,40_50_16,before,0.301149,-0.066794578
tool,28_38_12,after,0.301073,-0.066786102
tool,40_50_16,before,0.300473,-0.066719264
tool,41_50_16,before,0.294866,-0.066101062
tool,40_50_16,before,0.294075,-0.066014771
tool,41_50_16,before,0.293279,-0.065928161
tool,40_50_16,before,0.290259,-0.065601624
tool,40_50_16,before,0.289703,-0.065541859
tool,28_38_12,after,0.288939,-0.065459913
tool,41_50_16,before,0.287911,-0.065349974
tool,41_50_16,before,0.287449,-0.065300685
tool,41_50_16,before,0.28632,-0.06518055
tool,41_50_16,before,0.285417,-0.065084781
tool,41_50_16,before,0.283141,-0.06484464
tool,28_38_28,before,0.281123,-0.064633199
tool,41_50_16,before,0.278971,-0.06440923
tool,40_50_16,before,0.275534,-0.064054728
tool,28_38_12,before,0.274664,-0.063965612
tool,41_50_16,before,0.272165,-0.063711007
tool,28_38_12,before,0.27051,-0.063543503
tool,28_38_12,after,0.268814,-0.063372762
tool,41_50_28,before,0.268813,-0.063372661
tool,40_50_16,after,0.2687,-0.063361318
tool,41_50_28,before,0.268175,-0.063308669
tool,41_50_28,before,0.268016,-0.063292742
tool,41_50_16,after,0.266777,-0.063168899
tool,28_38_28,before,0.266397,-0.063131014
tool,41_50_16,before,0.26608,-0.063099445
tool,41_50_28,before,0.265935,-0.063085015
tool,28_38_12,before,0.265173,-0.063009292
tool,41_50_16,before,0.264823,-0.062974572
tool,40_50_16,after,0.2647,-0.06296238
tool,41_50_16,after,0.264645,-0.06295693
tool,28_38_28,after,0.26387,-0.062880229
tool,28_38_12,before,0.2618,-0.062676277
tool,41_50_28,before,0.260478,-0.062546715
tool,28_38_28,after,0.259089,-0.062411162
tool,41_50_16,before,0.258932,-0.062395877
tool,40_50_28,after,0.258615,-0.062365038
tool,28_38_12,after,0.257372,-0.062244409
tool,41_50_16,before,0.256361,-0.062146638
tool,28_38_28,before,0.25316,-0.061839095
tool,41_50_16,before,0.25034,-0.061570668
tool,41_50_16,before,0.249226,-0.061465271
tool,41_50_28,after,0.248092,-0.061358351
tool,28_38_12,before,0.247997,-0.061349411
tool,28_38_28,after,0.247662,-0.061317906
tool,41_50_16,before,0.247492,-0.06130193
tool,28_38_12,after,0.246932,-0.061249365
tool,28_38_12,before,0.245886,-0.06115142
tool,28_38_28,before,0.245857,-0.061148709
tool,28_38_28,after,0.245635,-0.061127964
tool,28_38_28,after,0.245601,-0.061124788
tool,28_38_12,after,0.24513,-0.061080825
tool,41_50_16,before,0.244812,-0.061051179
tool,28_38_28,after,0.244653,-0.061036367
tool,28_38_28,after,0.244449,-0.061017373
tool,28_38_28,before,0.244004,-0.060975982
tool,28_38_12,before,0.243948,-0.060970777
tool,40_50_16,before,0.241479,-0.060742178
tool,40_50_16,after,0.2392,-0.060532688
tool,28_38_12,before,0.238459,-0.060464884
tool,28_38_12,after,0.235117,-0.060160961
tool,28_38_12,before,0.23404,-0.060063667
tool,28_38_28,before,0.233164,-0.059984764
tool,28_38_12,before,0.232479,-0.059923208
tool,41_50_16,before,0.231295,-0.059817109
tool,28_38_28,after,0.23124,-0.05981219
tool,28_38_28,after,0.230809,-0.059773667
tool,41_50_16,before,0.230375,-0.059734926
tool,41_50_16,before,0.228784,-0.059593335
tool,40_50_16,before,0.228446,-0.059563341
tool,41_50_16,before,0.22704,-0.059438897
tool,40_50_28,after,0.225569,-0.059309255
tool,41_50_16,after,0.224753,-0.059237583
tool,41_50_16,before,0.224639,-0.059227583
tool,41_50_16,before,0.224271,-0.059195328
tool,41_50_16,before,0.223279,-0.059108554
tool,28_38_12,after,0.22248,-0.059038848
tool,41_50_16,before,0.222107,-0.059006362
tool,41_50_28,before,0.219233,-0.058757255
tool,41_50_16,after,0.217112,-0.058574759
tool,41_50_16,before,0.216578,-0.058528991
tool,28_38_28,before,0.216389,-0.058512809
tool,40_50_16,before,0.21627,-0.058502625
tool,28_38_28,before,0.216216,-0.058498005
tool,40_50_28,after,0.215845,-0.058466283
tool,41_50_16,before,0.215408,-0.058428962
tool,28_38_28,before,0.214607,-0.058360678
tool,41_50_16,before,0.2135,-0.05826657
tool,41_50_28,before,0.213209,-0.058241881
tool,41_50_16,before,0.213033,-0.05822696
tool,28_38_12,after,0.211572,-0.058103389
tool,41_50_16,before,0.211506,-0.058097819
tool,40_50_16,before,0.211382,-0.058087358
tool,40_50_28,after,0.210959,-0.058051698
tool,41_50_16,before,0.210801,-0.058038389
tool,40_50_16,before,0.21065,-0.058025676
tool,41_50_16,before,0.210271,-0.057993792
tool,40_50_16,before,0.209787,-0.057953125
tool,41_50_28,before,0.209486,-0.057927862
tool,41_50_16,before,0.209401,-0.057920733
tool,41_50_28,before,0.209086,-0.057894325
tool,41_50_16,before,0.208882,-0.057877237
tool,40_50_16,before,0.208842,-0.057873887
tool,41_50_16,after,0.208764,-0.057867356
tool,41_50_16,before,0.208681,-0.057860409
tool,41_50_28,before,0.208663,-0.057858902
tool,41_50_16,before,0.208323,-0.057830461
tool,41_50_28,before,0.207501,-0.057761816
tool,28_38_28,before,0.207441,-0.057756812
tool,28_38_12,after,0.207041,-0.057723473
tool,28_38_28,after,0.206752,-0.057699409
tool,41_50_16,before,0.206557,-0.057683184
tool,28_38_28,before,0.206125,-0.057647271
tool,41_50_16,before,0.205969,-0.057634313
tool,41_50_16,before,0.205204,-0.057570855
tool,40_50_16,after,0.2052,-0.057570524
tool,28_38_12,after,0.204475,-0.057510514
tool,41_50_28,before,0.204194,-0.057487288
tool,41_50_16,after,0.203749,-0.057450546
tool,28_38_12,before,0.203372,-0.057419455
tool,28_38_12,after,0.203297,-0.057413274
tool,41_50_16,after,0.202843,-0.057375885
tool,28_38_28,after,0.201836,-0.057293129
tool,41_50_16,before,0.201463,-0.057262536
tool,28_38_28,after,0.20141,-0.057258192
tool,41_50_16,before,0.200859,-0.057213066
tool,41_50_16,before,0.200787,-0.057207174
tool,41_50_16,after,0.200229,-0.057161557
tool,28_38_28,after,0.2,-0.057142857
tool,41_50_16,before,0.19972,-0.057120009
tool,28_38_28,after,0.199686,-0.057117236
tool,41_50_16,before,0.199585,-0.057109
tool,28_38_12,before,0.197809,-0.056964558
tool,41_50_16,before,0.197693,-0.056955149
tool,28_38_12,after,0.197433,-0.056934072
tool,28_38_28,after,0.1971,-0.056907099
tool,28_38_28,after,0.196231,-0.056836831
tool,28_38_28,after,0.195495,-0.056777454
tool,41_50_16,before,0.195168,-0.056751112
tool,28_38_28,after,0.195056,-0.056742096
tool,28_38_28,after,0.194081,-0.056663725
tool,28_38_28,after,0.193177,-0.056591254
tool,41_50_16,before,0.192574,-0.056543017
tool,41_50_16,before,0.192441,-0.056532388
tool,41_50_28,before,0.191354,-0.056445672
tool,40_50_16,after,0.1913,-0.056441372
tool,41_50_16,before,0.19129,-0.056440575
tool,41_50_16,before,0.191134,-0.056428154
tool,28_38_28,after,0.190699,-0.056393548
tool,41_50_16,before,0.190658,-0.056390288
tool,41_50_28,before,0.190593,-0.056385122
tool,40_50_16,before,0.190432,-0.056372328
tool,41_50_28,before,0.190204,-0.05635422
tool,28_38_12,before,0.188083,-0.056186325
tool,41_50_28,before,0.187549,-0.056144212
tool,41_50_28,before,0.186977,-0.056099172
tool,41_50_16,before,0.186528,-0.056063868
tool,28_38_28,after,0.186326,-0.056048
tool,28_38_28,after,0.18608,-0.056028687
tool,28_38_12,before,0.186045,-0.05602594
tool,40_50_16,after,0.1857,-0.05599888
tool,41_50_28,before,0.185611,-0.055991904
tool,40_50_16,before,0.185055,-0.05594836
tool,40_50_16,before,0.182937,-0.055783104
tool,40_50_16,before,0.181441,-0.055666967
tool,28_38_12,before,0.181377,-0.055662009
tool,41_50_16,before,0.181365,-0.05566108
tool,41_50_16,before,0.181362,-0.055660847
tool,41_50_28,before,0.181091,-0.055639865
tool,41_50_28,before,0.180742,-0.055612868
tool,28_38_28,after,0.180593,-0.055601349
tool,41_50_16,before,0.180297,-0.055578482
tool,28_38_28,after,0.179333,-0.055504137
tool,40_50_16,before,0.179166,-0.055491278
tool,41_50_16,before,0.178594,-0.055447279
tool,40_50_16,before,0.178271,-0.055422465
tool,41_50_16,before,0.178035,-0.055404348
tool,41_50_16,before,0.178029,-0.055403887
tool,28_38_12,after,0.177863,-0.055391152
tool,28_38_28,after,0.176682,-0.055300711
tool,28_38_28,before,0.176475,-0.05528489
tool,28_38_28,after,0.176124,-0.055258083
tool,41_50_16,before,0.176014,-0.055249687
tool,40_50_16,after,0.1757,-0.055225735
tool,41_50_16,before,0.175646,-0.055221618
tool,41_50_16,before,0.175512,-0.055211404
tool,41_50_28,before,0.175038,-0.055175306
tool,41_50_16,before,0.174296,-0.055118891
tool,28_38_12,before,0.173628,-0.055068202
tool,41_50_28,before,0.17338,-0.055049407
tool,41_50_16,before,0.17318,-0.055034259
tool,41_50_28,before,0.173019,-0.055022071
tool,41_50_28,before,0.172794,-0.055005047
tool,40_50_16,before,0.172338,-0.054970577
tool,28_38_12,before,0.172304,-0.054968009
tool,41_50_16,before,0.172098,-0.054952452
tool,28_38_28,before,0.171406,-0.05490026
tool,40_50_16,after,0.1709,-0.054862159
tool,28_38_28,after,0.170531,-0.054834407
tool,28_38_12,after,0.170353,-0.05482103
tool,40_50_16,after,0.1683,-0.054667213
tool,28_38_28,after,0.168276,-0.05466542
