site,sample,trmt,breadth_mm3,Pc
tool,28_38_12,before,0.099753,-0.049984567
tool,41_50_16,after,0.0997278,-0.049982993
tool,41_50_16,before,0.0996864,-0.049980408
tool,28_38_12,before,0.0995753,-0.04997347
tool,41_50_16,before,0.099565,-0.049972827
tool,41_50_16,before,0.0995426,-0.049971429
tool,41_50_28,before,0.0994351,-0.049964719
tool,28_38_28,after,0.0994074,-0.04996299
tool,41_50_16,before,0.0992384,-0.049952445
tool,28_38_28,before,0.0990456,-0.049940421
tool,28_38_12,before,0.0990412,-0.049940147
tool,28_38_28,before,0.0989653,-0.049935415
tool,40_50_16,before,0.0989147,-0.049932261
tool,41_50_16,before,0.098787,-0.049924302
tool,41_50_28,before,0.0987437,-0.049921604
tool,41_50_28,before,0.0987262,-0.049920514
tool,41_50_28,before,0.0986987,-0.049918801
tool,28_38_28,after,0.0986905,-0.04991829
tool,28_38_12,after,0.0984874,-0.049905641
tool,40_50_16,before,0.0984206,-0.049901482
tool,41_50_16,before,0.0983314,-0.04989593
tool,41_50_16,before,0.0983251,-0.049895537
tool,28_38_28,before,0.0983078,-0.049894461
tool,41_50_16,before,0.0982083,-0.049888269
tool,40_50_16,before,0.0981298,-0.049883385
tool,41_50_16,before,0.0980681,-0.049879547
tool,28_38_12,before,0.0979193,-0.049870294
tool,41_50_16,before,0.0978854,-0.049868186
tool,41_50_16,before,0.0978637,-0.049866837
tool,41_50_28,before,0.097824,-0.049864369
tool,28_38_28,after,0.0976929,-0.049856221
tool,28_38_28,after,0.0975557,-0.049847697
tool,41_50_16,before,0.097511,-0.04984492
tool,28_38_28,after,0.0974461,-0.049840889
tool,41_50_16,before,0.0973974,-0.049837865
tool,41_50_16,after,0.0971561,-0.049822886
tool,41_50_16,before,0.0971148,-0.049820323
tool,28_38_12,before,0.0970703,-0.049817562
tool,28_38_28,before,0.0970457,-0.049816036
tool,41_50_16,before,0.0969952,-0.049812903
tool,28_38_12,before,0.096731,-0.049796519
tool,28_38_28,after,0.0966169,-0.049789447
tool,41_50_28,before,0.0964801,-0.04978097
tool,40_50_16,before,0.0964287,-0.049777786
tool,28_38_28,after,0.0963004,-0.049769839
tool,28_38_28,after,0.0962547,-0.04976701
tool,41_50_28,before,0.0962516,-0.049766818
tool,28_38_12,after,0.0961194,-0.049758633
tool,41_50_16,before,0.0961026,-0.049757593
tool,41_50_16,before,0.0960021,-0.049751374
tool,41_50_16,before,0.0956515,-0.049729688
tool,41_50_16,before,0.0955954,-0.04972622
tool,28_38_28,after,0.0954805,-0.049719118
tool,41_50_16,before,0.0953928,-0.049713699
tool,40_50_28,before,0.0952562,-0.04970526
tool,28_38_12,after,0.0951168,-0.049696652
tool,28_38_28,after,0.0949518,-0.049686466
tool,41_50_16,before,0.0949478,-0.049686219
tool,28_38_28,after,0.0949402,-0.04968575
tool,41_50_16,before,0.0948639,-0.049681042
