pore_throat,type,um
pt129,Expected,219.39
pt165,Expected,396.95
pt179,Expected,84.41
pt214,Expected,105.91
pt287,Expected,115.49
pt129,Thickness,32.2692
pt165,Thickness,83.6418
pt179,Thickness,111.319
pt214,Thickness,10.5726
pt287,Thickness,29.4865
pt129,Width,41.084
pt165,Width,185.888
pt179,Width,144.463
pt214,Width,10.319
pt287,Width,81.1788
pt129,Breadth,309.092
pt165,Breadth,424.61
pt179,Breadth,148.636
pt214,Breadth,111.914
pt287,Breadth,105.455
pt129,Length,404.833
pt165,Length,569.505
pt179,Length,676.301
pt214,Length,138.541
pt287,Length,358.464
