site,trmt,sample,moist,psf,psf_count,psf_dist
tool,after,28_38_12,low,0.26,1,0.009803922
tool,after,28_38_12,low,0.27,1,0.009803922
tool,after,28_38_12,low,0.3,1,0.009803922
tool,after,28_38_12,low,0.39,1,0.009803922
tool,after,28_38_12,low,0.49,1,0.009803922
tool,after,28_38_12,low,0.5,1,0.009803922
tool,after,28_38_12,low,0.54,1,0.009803922
tool,after,28_38_12,low,0.55,1,0.009803922
tool,after,28_38_12,low,0.56,1,0.009803922
tool,after,28_38_12,low,0.59,1,0.009803922
tool,after,28_38_12,low,0.6,1,0.009803922
tool,after,28_38_12,low,0.62,1,0.009803922
tool,after,28_38_12,low,0.63,1,0.009803922
tool,after,28_38_12,low,0.64,1,0.009803922
tool,after,28_38_12,low,0.67,1,0.009803922
tool,after,28_38_12,low,0.71,1,0.009803922
tool,after,28_38_12,low,0.77,1,0.009803922
tool,after,28_38_12,low,0.79,1,0.009803922
tool,after,28_38_12,low,0.81,1,0.009803922
tool,after,28_38_12,low,0.86,1,0.009803922
tool,after,28_38_12,low,0.28,2,0.019607843
tool,after,28_38_12,low,0.31,2,0.019607843
tool,after,28_38_12,low,0.33,2,0.019607843
tool,after,28_38_12,low,0.34,2,0.019607843
tool,after,28_38_12,low,0.36,2,0.019607843
tool,after,28_38_12,low,0.42,2,0.019607843
tool,after,28_38_12,low,0.57,2,0.019607843
tool,after,28_38_12,low,0.69,2,0.019607843
tool,after,28_38_12,low,0.84,2,0.019607843
tool,after,28_38_12,low,0.29,3,0.029411765
tool,after,28_38_12,low,0.35,3,0.029411765
tool,after,28_38_12,low,0.37,3,0.029411765
tool,after,28_38_12,low,0.41,3,0.029411765
tool,after,28_38_12,low,0.44,3,0.029411765
tool,after,28_38_12,low,0.45,3,0.029411765
tool,after,28_38_12,low,0.51,3,0.029411765
tool,after,28_38_12,low,0.61,3,0.029411765
tool,after,28_38_12,low,0.66,3,0.029411765
tool,after,28_38_12,low,0.7,3,0.029411765
