site,trmt,sample,bin,breadth_mm,breadth_um,breadth_freq,breadth_dist
tool,after,28_38_12,a,0.15,150,3,2.970%
tool,after,28_38_12,b,0.14,140,0,0.000%
tool,after,28_38_12,c,0.13,130,0,0.000%
tool,after,28_38_12,d,0.12,120,4,3.960%
tool,after,28_38_12,e,0.11,110,3,2.970%
tool,after,28_38_12,f,0.1,100,4,3.960%
tool,after,28_38_12,g,0.09,90,7,6.931%
tool,after,28_38_12,h,0.08,80,6,5.941%
tool,after,28_38_12,i,0.07,70,15,14.851%
tool,after,28_38_12,j,0.06,60,3,2.970%
tool,after,28_38_12,k,0.05,50,7,6.931%
tool,after,28_38_12,l,0.04,40,7,6.931%
tool,after,28_38_12,m,0.03,30,10,9.901%
tool,after,28_38_12,n,0.02,20,1,0.990%
tool,after,28_38_12,o,0.01,10,0,0.000%
tool,before,28_38_12,a,0.15,150,1,0.599%
tool,before,28_38_12,b,0.14,140,1,0.599%
tool,before,28_38_12,c,0.13,130,6,3.593%
tool,before,28_38_12,d,0.12,120,9,5.389%
tool,before,28_38_12,e,0.11,110,11,6.587%
tool,before,28_38_12,f,0.1,100,13,7.784%
tool,before,28_38_12,g,0.09,90,7,4.192%
tool,before,28_38_12,h,0.08,80,5,2.994%
tool,before,28_38_12,i,0.07,70,13,7.784%
tool,before,28_38_12,j,0.06,60,8,4.790%
tool,before,28_38_12,k,0.05,50,19,11.377%
tool,before,28_38_12,l,0.04,40,28,16.766%
tool,before,28_38_12,m,0.03,30,15,8.982%
tool,before,28_38_12,n,0.02,20,1,0.599%
tool,before,28_38_12,o,0.01,10,0,0.000%
tool,after,28_38_28,a,0.15,150,5,0.969%
tool,after,28_38_28,b,0.14,140,4,0.775%
tool,after,28_38_28,c,0.13,130,13,2.519%
tool,after,28_38_28,d,0.12,120,15,2.907%
tool,after,28_38_28,e,0.11,110,19,3.682%
tool,after,28_38_28,f,0.1,100,21,4.070%
tool,after,28_38_28,g,0.09,90,30,5.814%
