sample,ftc,volume_mm3,breadth_mm3,surface_calc_area_mm3,surface_calc_vol_mm3,shape_factor
40-50-16,before,6.59E-06,0.0270934,0.001058,0.000003,0.95077837
40-50-16,before,6.59E-06,0.0270934,0.001058,0.000003,0.95077837
40-50-16,before,5.49E-06,0.0220626,0.000517,0.000001,0.93539185
40-50-16,before,5.49E-06,0.024092,0.000539,0.000001,0.89721259
40-50-16,before,5.49E-06,0.0242158,0.000539,0.000001,0.89721259
40-50-16,before,5.49E-06,0.0242518,0.000541,0.000001,0.893895723
40-50-16,before,5.49E-06,0.0242158,0.000541,0.000001,0.893895723
40-50-16,before,5.49E-06,0.024092,0.000541,0.000001,0.893895723
40-50-16,before,7.69E-06,0.0260422,0.001201,0.000003,0.83757162
40-50-16,before,5.49E-06,0.0230053,0.000578,0.000001,0.836674025
40-50-16,before,7.69E-06,0.0275588,0.001215,0.000003,0.827920589
40-50-16,before,6.59E-06,0.0276655,0.00123,0.000003,0.817823997
40-50-16,before,1.21E-05,0.0386046,0.001957,0.000006,0.815944838
40-50-16,before,1.54E-05,0.0410973,0.002566,0.000009,0.815434619
40-50-16,before,5.49E-06,0.0249107,0.000953,0.000002,0.805522893
40-50-16,before,7.69E-06,0.0329796,0.001253,0.000003,0.802812064
40-50-16,before,5.49E-06,0.0239781,0.000963,0.000002,0.797158169
40-50-16,before,5.49E-06,0.024307,0.000964,0.000002,0.796331242
40-50-16,before,5.49E-06,0.024307,0.000964,0.000002,0.796331242
40-50-16,before,5.49E-06,0.0242525,0.000964,0.000002,0.796331242
40-50-16,before,1.10E-05,0.0316338,0.001301,0.000003,0.773192556
40-50-16,before,1.32E-05,0.0297859,0.002306,0.000007,0.767403039
40-50-16,before,8.79E-06,0.0269517,0.001844,0.000005,0.766837267
40-50-16,before,7.69E-06,0.0285817,0.001315,0.000003,0.764960849
40-50-16,before,7.69E-06,0.0242662,0.001319,0.000003,0.762641028
40-50-16,before,7.69E-06,0.0269517,0.001609,0.000004,0.757358333
40-50-16,before,6.59E-06,0.0282382,0.001333,0.000003,0.754631295
40-50-16,before,1.21E-05,0.037191,0.001888,0.000005,0.748966059
40-50-16,before,1.54E-05,0.0357382,0.002803,0.000009,0.746487775
40-50-16,before,1.54E-05,0.0319954,0.002847,0.000009,0.734950907
40-50-16,before,9.89E-06,0.0310099,0.00167,0.000004,0.729694346
40-50-16,before,7.69E-06,0.0236054,0.001058,0.000002,0.725579695
40-50-16,before,1.43E-05,0.0326188,0.002897,0.000009,0.722266218
40-50-16,before,1.21E-05,0.0331688,0.002452,0.000007,0.721709384
40-50-16,before,1.43E-05,0.0448818,0.002909,0.000009,0.719286776
40-50-16,before,9.89E-06,0.0297563,0.001702,0.000004,0.715975063
40-50-16,before,9.89E-06,0.0298116,0.001408,0.000003,0.714434315
40-50-16,before,3.52E-05,0.0579354,0.005661,0.000024,0.710774433
40-50-16,before,9.89E-06,0.0356963,0.001417,0.000003,0.709896624
40-50-16,before,3.19E-05,0.0555587,0.005198,0.000021,0.708153456
40-50-16,before,1.65E-05,0.0412751,0.003184,0.00001,0.704981519
40-50-16,before,1.10E-05,0.0381237,0.001729,0.000004,0.704794423
40-50-16,before,7.69E-06,0.0258167,0.001436,0.000003,0.700503841
40-50-16,before,7.69E-06,0.0250894,0.001096,0.000002,0.700422735
40-50-16,before,5.49E-06,0.0200431,0.001097,0.000002,0.699784245
40-50-16,before,9.89E-06,0.039487,0.002022,0.000005,0.699331316
40-50-16,before,9.89E-06,0.0331866,0.002022,0.000005,0.699331316
40-50-16,before,1.43E-05,0.0344326,0.002539,0.000007,0.69697968
40-50-16,before,6.59E-06,0.0333925,0.000695,0.000001,0.695823865
40-50-16,before,6.59E-06,0.0235904,0.000698,0.000001,0.692833218
40-50-16,before,1.21E-05,0.0333852,0.002556,0.000007,0.692344057
40-50-16,before,3.41E-05,0.0487785,0.005996,0.000025,0.689576585
40-50-16,before,0.000018681,0.0423102,0.003684,0.000012,0.688047889
40-50-16,before,1.65E-05,0.0347058,0.003266,0.00001,0.687281432
40-50-16,before,9.89E-06,0.0304062,0.00206,0.000005,0.686431029
40-50-16,before,2.64E-05,0.0506397,0.004291,0.000015,0.685466838
40-50-16,before,0.000018681,0.0392973,0.003709,0.000012,0.683410198
40-50-16,before,2.20E-05,0.0352137,0.004115,0.000014,0.682652432
40-50-16,before,1.54E-05,0.0328183,0.002595,0.000007,0.681938886
40-50-16,before,2.20E-05,0.0486247,0.003522,0.000011,0.679135704
40-50-16,before,0.000018681,0.0533121,0.003733,0.000012,0.679016454
