sample,ftc,Breadth3d (mm),,Bin,Frequency,,,sample,ftc,Breadth3d (mm),,Bin,Frequency,
28-38-28,pre,0.101132,0.005,0.005,0,0,,28-38-28,post,0.230809,0.005,0.005,0,0
28-38-28,pre,0.0421328,0.01,0.01,0,0,,28-38-28,post,0.0877626,0.01,0.01,0,0
28-38-28,pre,0.102663,0.015,0.015,1,0.003937008,,28-38-28,post,0.146725,0.015,0.015,0,0
28-38-28,pre,0.0462549,0.02,0.02,1,0.003937008,,28-38-28,post,0.0373805,0.02,0.02,2,0.004310345
28-38-28,pre,1.04785,0.025,0.025,11,0.043307087,,28-38-28,post,0.0655946,0.025,0.025,48,0.103448276
28-38-28,pre,0.0353327,0.03,0.03,13,0.051181102,,28-38-28,post,0.0605732,0.03,0.03,46,0.099137931
28-38-28,pre,0.054067,0.035,0.035,31,0.122047244,,28-38-28,post,0.712682,0.035,0.035,29,0.0625
28-38-28,pre,0.0839316,0.04,0.04,25,0.098425197,,28-38-28,post,0.0286282,0.04,0.04,45,0.096982759
28-38-28,pre,0.216389,0.045,0.045,25,0.098425197,,28-38-28,post,1.21033,0.045,0.045,38,0.081896552
28-38-28,pre,0.162868,0.05,0.05,20,0.078740157,,28-38-28,post,0.121057,0.05,0.05,31,0.066810345
28-38-28,pre,0.0199626,0.055,0.055,15,0.059055118,,28-38-28,post,0.0962547,0.055,0.055,19,0.040948276
28-38-28,pre,0.111466,0.06,0.06,21,0.082677165,,28-38-28,post,0.0963004,0.06,0.06,17,0.036637931
28-38-28,pre,0.125505,0.065,0.065,12,0.047244094,,28-38-28,post,0.11352,0.065,0.065,26,0.056034483
28-38-28,pre,0.0353364,0.07,0.07,5,0.019685039,,28-38-28,post,0.0734554,0.07,0.07,19,0.040948276
28-38-28,pre,0.0361738,0.075,0.075,12,0.047244094,,28-38-28,post,0.0249077,0.075,0.075,18,0.038793103
28-38-28,pre,0.100047,0.08,0.08,7,0.027559055,,28-38-28,post,0.106918,0.08,0.08,11,0.023706897
28-38-28,pre,0.176475,0.085,0.085,5,0.019685039,,28-38-28,post,0.0269732,0.085,0.085,16,0.034482759
28-38-28,pre,0.147331,0.09,0.09,6,0.023622047,,28-38-28,post,0.0270796,0.09,0.09,14,0.030172414
28-38-28,pre,0.0303877,0.095,0.095,5,0.019685039,,28-38-28,post,0.0683884,0.095,0.095,12,0.025862069
28-38-28,pre,0.0416852,0.1,0.1,4,0.015748031,,28-38-28,post,0.0356487,0.1,0.1,9,0.019396552
28-38-28,pre,0.0526816,0.105,0.105,6,0.023622047,,28-38-28,post,0.0544322,0.105,0.105,9,0.019396552
28-38-28,pre,0.0699724,0.11,0.11,7,0.027559055,,28-38-28,post,0.08291,0.11,0.11,10,0.021551724
28-38-28,pre,0.124739,0.115,0.115,2,0.007874016,,28-38-28,post,0.0692179,0.115,0.115,5,0.010775862
28-38-28,pre,0.048134,0.12,0.12,3,0.011811024,,28-38-28,post,0.0936164,0.12,0.12,10,0.021551724
28-38-28,pre,0.0575843,0.125,0.125,4,0.015748031,,28-38-28,post,0.0707566,0.125,0.125,7,0.015086207
28-38-28,pre,0.107543,0.13,0.13,3,0.011811024,,28-38-28,post,0.0605495,0.13,0.13,6,0.012931034
28-38-28,pre,0.214607,0.135,0.135,4,0.015748031,,28-38-28,post,0.12767,0.135,0.135,1,0.002155172
28-38-28,pre,0.25316,0.14,0.14,1,0.003937008,,28-38-28,post,0.0469003,0.14,0.14,3,0.006465517
28-38-28,pre,0.474225,0.145,0.145,1,0.003937008,,28-38-28,post,0.0239135,0.145,0.145,1,0.002155172
28-38-28,pre,0.0462729,0.15,0.15,3,0.011811024,,28-38-28,post,0.105992,0.15,0.15,4,0.00862069
28-38-28,pre,0.0360663,0.155,0.155,1,0.003937008,,28-38-28,post,0.0396224,0.155,0.155,5,0.010775862
28-38-28,pre,0.0590261,0.16,0.16,0,0,,28-38-28,post,0.2,0.16,0.16,3,0.006465517
28-38-28,pre,0.0755489,,More,,,,28-38-28,post,0.107666,,More,,
28-38-28,pre,0.0230489,,,254,,,28-38-28,post,0.07306,,,464,
28-38-28,pre,0.070739,,,,,,28-38-28,post,0.0659851,,,,
28-38-28,pre,0.0462496,,,,,,28-38-28,post,0.024913,,,,
28-38-28,pre,0.0332267,,,,,,28-38-28,post,0.0251277,,,,
28-38-28,pre,0.0309513,,,,,,28-38-28,post,0.0382662,,,,
28-38-28,pre,0.127664,,,,,,28-38-28,post,0.0471738,,,,
28-38-28,pre,0.0989653,,,,,,28-38-28,post,0.0994074,,,,
