sample,ftc,Breadth3d (mm),,Bin,Frequency,Frequency,,sample,ftc,Breadth3d (mm),,Bin,Frequency,
40-50-28,pre,0.161848,0.005,0.005,0,0,,40-50-28,post,0.225569,0.005,0.005,0,0
40-50-28,pre,0.0663251,0.01,0.01,0,0,,40-50-28,post,0.652684,0.01,0.01,0,0
40-50-28,pre,0.0509233,0.015,0.015,0,0,,40-50-28,post,0.167698,0.015,0.015,0,0
40-50-28,pre,0.059187,0.02,0.02,0,0,,40-50-28,post,0.0215179,0.02,0.02,0,0
40-50-28,pre,0.586096,0.025,0.025,2,0.05,,40-50-28,post,0.068579,0.025,0.025,3,0.088235294
40-50-28,pre,0.0757015,0.03,0.03,3,0.075,,40-50-28,post,0.0671676,0.03,0.03,2,0.058823529
40-50-28,pre,0.0246569,0.035,0.035,0,0,,40-50-28,post,0.215845,0.035,0.035,6,0.176470588
40-50-28,pre,0.0805118,0.04,0.04,2,0.05,,40-50-28,post,0.258615,0.04,0.04,1,0.029411765
40-50-28,pre,0.0824353,0.045,0.045,3,0.075,,40-50-28,post,0.0429501,0.045,0.045,4,0.117647059
40-50-28,pre,0.0473084,0.05,0.05,4,0.1,,40-50-28,post,0.0603688,0.05,0.05,3,0.088235294
40-50-28,pre,0.0594382,0.055,0.055,2,0.05,,40-50-28,post,0.0626306,0.055,0.055,1,0.029411765
40-50-28,pre,0.0388383,0.06,0.06,8,0.2,,40-50-28,post,0.0762838,0.06,0.06,1,0.029411765
40-50-28,pre,0.141286,0.065,0.065,4,0.1,,40-50-28,post,0.0333895,0.065,0.065,4,0.117647059
40-50-28,pre,0.0546049,0.07,0.07,2,0.05,,40-50-28,post,0.0305381,0.07,0.07,3,0.088235294
40-50-28,pre,0.0426842,0.075,0.075,1,0.025,,40-50-28,post,0.0280634,0.075,0.075,1,0.029411765
40-50-28,pre,0.0721039,0.08,0.08,3,0.075,,40-50-28,post,0.0698452,0.08,0.08,1,0.029411765
40-50-28,pre,0.0267971,0.085,0.085,2,0.05,,40-50-28,post,0.165678,0.085,0.085,1,0.029411765
40-50-28,pre,0.0240317,0.09,0.09,0,0,,40-50-28,post,0.0556036,0.09,0.09,1,0.029411765
40-50-28,pre,0.057606,0.095,0.095,0,0,,40-50-28,post,0.0852826,0.095,0.095,0,0
40-50-28,pre,0.0608097,0.1,0.1,1,0.025,,40-50-28,post,0.109795,0.1,0.1,0,0
40-50-28,pre,0.0631363,0.105,0.105,1,0.025,,40-50-28,post,0.0447685,0.105,0.105,0,0
40-50-28,pre,0.0952562,0.11,0.11,0,0,,40-50-28,post,0.0333852,0.11,0.11,2,0.058823529
40-50-28,pre,0.0555992,0.115,0.115,1,0.025,,40-50-28,post,0.0240272,0.115,0.115,0,0
40-50-28,pre,0.0413007,0.12,0.12,0,0,,40-50-28,post,0.0629678,0.12,0.12,0,0
40-50-28,pre,0.0790876,0.125,0.125,0,0,,40-50-28,post,0.024465,0.125,0.125,0,0
40-50-28,pre,0.353248,0.13,0.13,0,0,,40-50-28,post,0.0405324,0.13,0.13,0,0
40-50-28,pre,0.0673147,0.135,0.135,0,0,,40-50-28,post,0.0251633,0.135,0.135,0,0
40-50-28,pre,0.057282,0.14,0.14,0,0,,40-50-28,post,0.0525015,0.14,0.14,0,0
40-50-28,pre,0.0565439,0.145,0.145,1,0.025,,40-50-28,post,0.0800958,0.145,0.145,0,0
40-50-28,pre,0.0468003,0.15,0.15,0,0,,40-50-28,post,0.210959,0.15,0.15,0,0
40-50-28,pre,0.111633,0.155,0.155,0,0,,40-50-28,post,0.0349213,0.155,0.155,0,0
40-50-28,pre,0.0630983,0.16,0.16,0,0,,40-50-28,post,0.0329385,0.16,0.16,0,0
40-50-28,pre,0.0464387,,More,,,,40-50-28,post,0.032211,,More,,
40-50-28,pre,0.0444301,,,40,,,40-50-28,post,0.16004,,,34,
40-50-28,pre,0.0396994,,,,,,40-50-28,post,0.060349,,,,
40-50-28,pre,0.0597719,,,,,,40-50-28,post,0.108194,,,,
40-50-28,pre,0.0451881,,,,,,40-50-28,post,0.0485537,,,,
40-50-28,pre,0.0263651,,,,,,40-50-28,post,0.0479071,,,,
40-50-28,pre,0.0275357,,,,,,40-50-28,post,0.0441016,,,,
40-50-28,pre,0.103816,,,,,,40-50-28,post,0.0473651,,,,
40-50-28,pre,0.0587357,,,,,,40-50-28,post,0.0382545,,,,
40-50-28,pre,0.0632721,,,,,,40-50-28,post,0.073577,,,,
40-50-28,pre,0.0760253,,,,,,,,,,,,
