sample,ftc,Breadth3d (mm),,Bin,Frequency,frequency,,,sample,ftc,Breadth (mm),,Bin,Frequency,
41-50-28,pre,0.146532,0.005,0.005,0,0,,,41-50-28,post,1.18602,0.005,0.005,0,0
41-50-28,pre,0.164063,0.01,0.01,0,0,,,41-50-28,post,0.618446,0.01,0.01,0,0
41-50-28,pre,0.0647121,0.015,0.015,1,0.002747253,,,41-50-28,post,0.418424,0.015,0.015,1,0.016129032
41-50-28,pre,0.0790409,0.02,0.02,3,0.008241758,,,41-50-28,post,0.430761,0.02,0.02,0,0
41-50-28,pre,0.0596394,0.025,0.025,21,0.057692308,,,41-50-28,post,0.499171,0.025,0.025,5,0.080645161
41-50-28,pre,0.268175,0.03,0.03,34,0.093406593,,,41-50-28,post,0.388328,0.03,0.03,4,0.064516129
41-50-28,pre,0.0711342,0.035,0.035,41,0.112637363,,,41-50-28,post,0.289444,0.035,0.035,4,0.064516129
41-50-28,pre,0.0103193,0.04,0.04,27,0.074175824,,,41-50-28,post,0.299771,0.04,0.04,6,0.096774194
41-50-28,pre,0.104553,0.045,0.045,30,0.082417582,,,41-50-28,post,0.435269,0.045,0.045,3,0.048387097
41-50-28,pre,0.133826,0.05,0.05,17,0.046703297,,,41-50-28,post,0.32613,0.05,0.05,2,0.032258065
41-50-28,pre,0.103763,0.055,0.055,26,0.071428571,,,41-50-28,post,6.86E-02,0.055,0.055,7,0.112903226
41-50-28,pre,0.0795252,0.06,0.06,15,0.041208791,,,41-50-28,post,9.21E-02,0.06,0.06,6,0.096774194
41-50-28,pre,0.0846933,0.065,0.065,19,0.052197802,,,41-50-28,post,0.247041,0.065,0.065,5,0.080645161
41-50-28,pre,0.0444178,0.07,0.07,12,0.032967033,,,41-50-28,post,0.120651,0.07,0.07,3,0.048387097
41-50-28,pre,0.0234343,0.075,0.075,20,0.054945055,,,41-50-28,post,0.122895,0.075,0.075,1,0.016129032
41-50-28,pre,0.0616099,0.08,0.08,16,0.043956044,,,41-50-28,post,6.65E-02,0.08,0.08,2,0.032258065
